question,context,ideal_answer,generated_answer,rouge_l,human_score
My grape leaves have a tiger-stripe pattern and the berries are spotting. What is this?,Grape___Esca_(Black_Measles),"This is Esca (Black Measles), a complex fungal trunk disease. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.","Hi there, thanks for reaching out! Based on your provided context, this is Black Measles, commonly known as Grape___Esca. This is a viral disease that attacks the vascular system of the plant, causing the berries to develop a tiger-striped pattern. The leaves will begin to turn brown and die, with symptoms worsening over time.

If you want to prevent this disease, you can:

- Use resistant varieties: Look for varieties that are known to be resistant to this disease, or select varieties that are already on your farm.
- Sanitation: Ensure your soil is free from debris, and that your garden is well",0.12030075187969923,
My orange tree leaves have yellowing veins and blotchy mottling. The fruit is small and lopsided.,Orange___Haunglongbing_(Citrus_greening),This is likely Citrus Greening (Huanglongbing). It is a serious bacterial disease spread by psyllids. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.,"Hello, I am Dr. Flora, a Plant Pathologist. I diagnose and advise about plant diseases.

Cause: This disease is caused by the bacteria Huanglongbing (HLB) which is spread by the bite of the Asian Citrus Psyllid. Symptoms are similar to citrus greening, and the disease can progress slowly.

Cure: The best treatment for citrus greening is to spray with fungicides. For orangethe tree, the fungicide you can use is Trichoderma ________. This fungi is native to citrus and can be used on citrus trees.

Prevention: Citrus trees are sus",0.16260162601626016,
Small water-soaked spots are appearing on my bell pepper leaves and turning brown.,"Pepper,_bell___Bacterial_spot","This is Bacterial Spot. It spreads in warm, wet weather. Use copper sprays, avoid overhead irrigation, and use disease-free seeds or transplants.","Bacterial spot disease is a common disease of pepper plants caused by the bacterium Pseudomonas syringae. It is characterized by water-soaked, circular, black to dark brown spots on the leaves, with the center being the most damaged and with a dark brown, blackish or grayish color. The spots are usually found on the lower leaves, but can also be found on the upper leaves, especially in the leaf axils, and sometimes on the stems. Bacterial spot disease is highly susceptible to fungicides, and prevention can be achieved by the use of fungicides. In most cases, the disease can be controlled by spraying fungicides",0.11023622047244094,
"My potato leaves have dark brown spots with concentric rings, like a target.",Potato___Early_blight,This is Potato Early Blight. It typically affects older leaves first. Maintain plant vigor through proper fertilization and apply fungicides like mancozeb or chlorothalonil.,"Early blight is a fungal disease of potato plants caused by the fungus _[Fungus Name]_ and affects early, juvenile leaves. It is caused by the following symptoms:

- Dark brown spots with concentric rings
- Early blight is caused by a fungus called _[Fungus Name]_.

- Causes: It is caused by the fungus _[Fungus Name]_.

- Prevention: Clean and dry leaves, and avoid overcrowding.

- Treatment: Sanitation (remove diseased leaves), application of fungicide (10-15 drops per liter of water).",0.1616161616161616,
White powdery spots are covering my squash leaves and stems.,Squash___Powdery_mildew,"This is Squash Powdery Mildew. It thrives in warm, dry conditions. Plant resistant varieties, ensure good air flow, and use fungicides like neem oil or sulfur.","Mildew is a fungal disease that can infest your crops, especially during periods of moisture. To control mildew, use a fungicide such as Squash Dust. Spray it on the affected areas with a fine mist. Mildew can also be prevented by removing any moisture from the leaves and stem. Watering them too much can also cause mildew. Keep a distance between plants to avoid contamination.

Diagnosis: Mildew
Advice: Spray Squash Dust on affected areas.

Outcome: User feels relieved with the actionable tips provided.",0.07339449541284404,
My tomato leaves have small circular spots with dark borders and gray centers.,Tomato___Septoria_leaf_spot,"This is Septoria Leaf Spot. It is very common. Remove lower infected leaves, mulch around the base of the plant to prevent soil splash, and apply fungicides.","Septoia leaf spot is a common fungal disease of tomato. It affects the leaves by causing circular to oval-shaped spots, and the disease can cause yellowing of the leaves. The spots are usually dark brown or black, with gray or white centers. The growth is stunted or reduced, and leaves may die. The disease is most common in temperate regions. Prevention of Septoia leaf spot is by sanitation of the plant, applying fungicides and preventing moist conditions. Treatment may include fungicide applications. The disease may be resistant to fungicides, and you should be aware of this. Actionable steps to prevent or treat Septoia leaf",0.16666666666666669,
The leaves on my tomato plant are curling upward and turning yellow at the edges.,Tomato___Tomato_Yellow_Leaf_Curl_Virus,"This is Tomato Yellow Leaf Curl Virus, transmitted by whiteflies. Remove and destroy infected plants immediately. Control weeds and use reflective mulches to repel whiteflies.","Hi there. Tomato yellow leaf curl virus is a serious disease that can infect the youngest leaves of tomatoes. Symptoms include curled, yellow-orange, and white leaves, curling upward, and turning yellow at the edges. The disease is spread by infected pollen, wind, and water, and can be contracted from plants in the same garden.

Actionable Steps:

1. Sanitize and clean all gardening tools and equipment.
2. Use a sturdy tray to transport your plants to the nursery.
3. Clean your tomato plants regularly and remove infected leaves, stems, and tubers.
4. Use",0.1864406779661017,
I see tiny yellow speckles on my tomato leaves and some fine webbing.,Tomato___Spider_mites Two-spotted_spider_mite,"These are Spider Mites (Two-spotted spider mite). They thrive in hot, dry weather. Wash them off with a strong stream of water or use insecticidal soap or neem oil.","Based on the provided context, the disease is Two-spotted Spider Mites. Here are the actionable steps for treatment:

1. Clean your planting area and dispose of infected leaves.
2. Immediately remove all affected leaves and disinfect the planting area with water and bleach (100% water to 1 part bleach to 100 parts water).
3. Apply a 10-10-10 solution of chlorine bleach (10% chlorine bleach), water (10% chlorine bleach), and soap (10% soap), at a rate of 1 gallon of bleach to",0.15789473684210525,
"My tomato plant leaves are bright green, firm, and look perfect. Is it sick?",Tomato___healthy,"No, your plant appears healthy! Keep up the good work with watering and care.","Tomato is a common plant disease, causing yellowing of leaves, stunted growth, and blossom end rot. It can be caused by various factors such as overwatering, improper fertilization, poor soil quality, or pests. To identify the disease, check for symptoms such as yellowing leaves, discoloration, and wilting. If the symptoms persist for more than a few days, seek the advice of a plant pathologist. Adopting preventive measures like regular watering, balanced fertilization, and proper soil management can help prevent the disease. Follow standard agricultural practices such as sanitation, resistant varieties, and crop rotation to maintain healthy plants.",0.07207207207207207,
"My soybean crop looks uniform, green, and vigorous. Do I need to treat it?",Soybean___healthy,"No, the crop appears healthy. Continue monitoring for pests or diseases, but no treatment is needed right now.","Hello, thank you for your query. Based on the provided context, the plant looks healthy and is not showing any signs of disease. Therefore, you do not need to treat it with any fungicide. Remember that fungicide should be used only in cases of disease outbreaks, such as drought stress, pests, and diseases. You can apply an appropriate fungicide according to the crop's type, severity of the disease, and the surrounding soil condition. As a general rule, it is recommended to follow the following steps for disease prevention and control:

1. Clean the crops, including the irrigation system, with a high-quality solution.
2. San",0.08064516129032259,
